rank,graph6,alpha,theta_scs,delta_scs,edges,pr_scs,status_scs
6976,GCZJbw,3,3.0,0.0,14,8.881784197001252e-16,optimal
6977,GCZJb{,3,3.0,-0.0,15,9.791283997425784e-13,optimal
6978,GCZJc[,4,4.0,0.0,13,4.3298697960381105e-15,optimal
6979,GCZJck,3,3.0,0.0,13,1.0252645468116392e-13,optimal
6980,GCZJcs,3,3.0,-0.0,13,3.6477402524678974e-13,optimal
6981,GCZJc{,3,3.0,0.0,14,3.755430683240568e-14,optimal
6982,GCZJdK,3,3.0,0.0,13,5.507400166947858e-13,optimal
6983,GCZJdS,3,3.0,0.0,13,4.440892098500626e-16,optimal
6984,GCZJd[,3,3.0,0.0,14,1.1240268413677286e-15,optimal
6985,GCZJd_,3,3.0,-0.0,12,2.436190698263577e-14,optimal
6986,GCZJdc,3,3.0,0.0,13,8.47123326989335e-14,optimal
6987,GCZJdg,3,3.0,-0.0,13,1.0687119919577286e-18,optimal
6988,GCZJdk,3,3.0,-0.0,14,6.661338147750939e-16,optimal
6989,GCZJdo,3,3.0,-0.0,13,5.184741524999481e-14,optimal
6990,GCZJds,3,3.0,0.0,14,2.646730207236417e-15,optimal
6991,GCZJdw,3,3.0,-0.0,14,9.801150177140339e-16,optimal
6992,GCZJd{,3,3.0,-0.0,15,2.39956081134168e-12,optimal
6993,GCZJe[,3,3.0,-0.0,14,2.220446049250313e-16,optimal
6994,GCZJeg,3,3.0,-0.0,13,6.661338147750939e-16,optimal
6995,GCZJek,3,3.0,-0.0,14,4.20151191952799e-14,optimal
6996,GCZJeo,3,3.0,0.0,13,5.5358260718702486e-15,optimal
6997,GCZJes,3,3.0,0.0,14,1.6483208830674185e-13,optimal
6998,GCZJew,3,3.0,-0.0,14,7.915890165577366e-14,optimal
6999,GCZJe{,3,3.0,0.0,15,4.116121631359496e-14,optimal
7000,GCZJfK,3,3.0,-0.0,14,3.3611412414274337e-16,optimal
7001,GCZJfS,3,3.0,-0.0,14,4.440892098500626e-16,optimal
7002,GCZJfW,3,3.0,0.0,14,6.849494593270315e-14,optimal
7003,GCZJf[,3,3.0,0.0,15,3.3184684711170885e-15,optimal
7004,GCZJf_,3,3.0,-0.0,13,4.440892098500626e-16,optimal
7005,GCZJfc,3,3.0,0.0,14,6.230183475913514e-14,optimal
7006,GCZJfg,3,3.0,-0.0,14,4.440892098500626e-16,optimal
7007,GCZJfk,3,3.0,0.0,15,2.4386004221065865e-14,optimal
7008,GCZJfo,3,3.0,0.0,14,9.698263415759399e-14,optimal
7009,GCZJfs,3,3.0,0.0,15,2.220446049250313e-16,optimal
7010,GCZJfw,3,3.0,-0.0,15,1.193324556279549e-12,optimal
7011,GCZJf{,3,3.0,0.0,16,1.0892370314901978e-18,optimal
7012,GCZJjk,3,3.0,0.0,15,6.661338147750939e-16,optimal
7013,GCZJjw,3,3.0,0.0,15,5.878880518886061e-14,optimal
7014,GCZJj{,3,3.0,0.0,16,2.534015278530954e-13,optimal
7015,GCZJlk,3,3.0,-0.0,15,1.5156332767935055e-13,optimal
7016,GCZJls,3,3.0,0.0,15,1.0511368369048697e-14,optimal
7017,GCZJlw,3,3.0,0.0,15,1.4183101397129856e-13,optimal
7018,GCZJl{,3,3.0,-0.0,16,9.919214615487583e-14,optimal
7019,GCZJmk,3,3.0,0.0,15,1.218248239080714e-13,optimal
7020,GCZJms,3,3.0,0.0,15,1.686096517790456e-14,optimal
7021,GCZJmw,3,3.0,0.0,15,5.428381584753028e-16,optimal
7022,GCZJm{,3,3.0,-0.0,16,7.72715225139109e-14,optimal
7023,GCZJnK,3,3.0,0.0,15,1.2881052232825415e-14,optimal
7024,GCZJnS,3,3.0,-0.0,15,2.12853776411806e-14,optimal
7025,GCZJnW,3,3.0,0.0,15,5.91742550222609e-14,optimal
7026,GCZJn[,3,3.0,-0.0,16,1.052217009909065e-12,optimal
7027,GCZJnc,3,3.0,0.0,15,9.677762430147456e-15,optimal
7028,GCZJng,3,3.0,0.0,15,1.0347586316966429e-13,optimal
7029,GCZJnk,3,3.0,0.0,16,1.0695757062127804e-14,optimal
7030,GCZJno,3,3.0,0.0,15,4.2096133501909276e-15,optimal
7031,GCZJns,3,3.0,0.0,16,6.882271504600155e-13,optimal
7032,GCZJnw,3,3.0,-0.0,16,2.4424906541753444e-14,optimal
7033,GCZJn{,3,3.0,0.0,17,1.3322676295501878e-15,optimal
7034,GCZJq{,3,3.0,0.0,15,1.2073234105686414e-12,optimal
7035,GCZJrk,3,3.0,-0.0,15,8.372109505262458e-15,optimal
7036,GCZJrs,3,3.0,0.0,15,6.661338147750939e-16,optimal
7037,GCZJrw,3,3.0,-0.0,15,4.590712052507138e-13,optimal
7038,GCZJr{,3,3.0,0.0,16,2.19824158875781e-14,optimal
7039,GCZJtk,3,3.0,0.0,15,6.994405055138486e-15,optimal
7040,GCZJtw,3,3.0,-0.0,15,5.648576350498553e-14,optimal
7041,GCZJt{,3,3.0,-0.0,16,4.855437766875244e-15,optimal
7042,GCZJuk,3,3.0,-0.0,15,9.769962616701378e-14,optimal
7043,GCZJus,3,3.0,-0.0,15,1.1715231000589704e-12,optimal
7044,GCZJuw,3,3.0,-0.0,15,2.3314683517128287e-15,optimal
7045,GCZJu{,3,3.0,0.0,16,1.8077939939570922e-13,optimal
7046,GCZJvK,3,3.0,-0.0,15,7.86497221219674e-13,optimal
7047,GCZJvW,3,3.0,0.0,15,1.311845177490821e-12,optimal
7048,GCZJv[,3,3.0,0.0,16,2.0094569355105936e-14,optimal
7049,GCZJvc,3,3.0,-0.0,15,1.1184584761608528e-14,optimal
7050,GCZJvg,3,3.0,0.0,15,7.348857579868345e-13,optimal
7051,GCZJvo,3,3.0,-0.0,15,1.6831022275730017e-13,optimal
7052,GCZJvs,3,3.0,0.0,16,6.661338147750939e-16,optimal
7053,GCZJvw,3,3.0,-0.0,16,5.470219894152758e-13,optimal
7054,GCZJv{,3,3.0,-0.0,17,7.589344717918495e-15,optimal
7055,GCZJz{,3,3.0,-0.0,17,1.3322676295501878e-15,optimal
7056,GCZJ|{,3,3.0,-0.0,17,6.661338147750939e-16,optimal
7057,GCZJ}{,3,3.0,-0.0,17,1.4999113062685865e-13,optimal
7058,GCZJ~[,3,3.0,-0.0,17,1.5565326805244695e-13,optimal
7059,GCZJ~k,3,3.0,-0.0,17,2.475797344914099e-14,optimal
7060,GCZJ~s,3,3.0,-0.0,17,2.4877584414972607e-15,optimal
7061,GCZJ~w,3,3.0,-0.0,17,3.042011087472929e-14,optimal
7062,GCZJ~{,3,3.0,-0.0,18,7.405187574249794e-14,optimal
7063,GCZKzk,3,3.0,-0.0,15,7.536373335473907e-14,optimal
7064,GCZKzs,3,3.0,0.0,15,2.947480181221886e-13,optimal
7065,GCZKz{,3,3.0,-0.0,16,3.597122599785507e-14,optimal
7066,GCZK{{,3,3.0,0.0,15,9.05223972658497e-15,optimal
7067,GCZK|k,3,3.0,-0.0,15,1.9134689001632614e-13,optimal
7068,GCZK|w,3,3.0,-0.0,15,4.440892098500626e-16,optimal
7069,GCZK|{,3,3.0,0.0,16,2.2547424637761648e-13,optimal
7070,GCZK}k,3,3.0,-0.0,15,9.97248368551308e-15,optimal
7071,GCZK}s,3,3.0,-0.0,15,2.0956050245824442e-14,optimal
7072,GCZK}w,3,3.0,0.0,15,1.1301629246471663e-14,optimal
7073,GCZK}{,3,3.0,0.0,16,3.544469734053071e-14,optimal
7074,GCZK~K,3,3.0,0.0,15,1.0936966514060872e-14,optimal
7075,GCZK~[,3,3.0,-0.0,16,8.881784197001252e-15,optimal
7076,GCZK~c,3,3.0,0.0,15,2.1926464826550313e-14,optimal
7077,GCZK~g,3,3.0,-0.0,15,1.4635616196069216e-12,optimal
7078,GCZK~k,3,3.0,0.0,16,4.440892098500626e-16,optimal
7079,GCZK~s,3,3.0,-0.0,16,4.3007854705863214e-14,optimal
7080,GCZK~w,3,3.0,-0.0,16,1.5673193023493368e-13,optimal
7081,GCZK~{,3,3.0,0.0,17,1.9761969838327786e-14,optimal
7082,GCZLZk,3,3.0,0.0,15,5.119278557215399e-13,optimal
7083,GCZLZw,3,3.0,-0.0,15,5.551115123125783e-16,optimal
7084,GCZLZ{,3,3.0,0.0,16,2.0874912603291468e-14,optimal
7085,GCZL[{,3,3.0,-0.0,15,1.0014774803255105e-14,optimal
7086,GCZL\w,3,3.0,-0.0,15,7.7287600603946e-14,optimal
7087,GCZL]k,3,3.0,0.0,15,6.818026407403213e-14,optimal
7088,GCZL]w,3,3.0,0.0,15,6.013788660811962e-18,optimal
7089,GCZL]{,3,3.0,-0.0,16,1.8407678115449966e-14,optimal
7090,GCZL^K,3,3.0,0.0,15,2.5587963772791195e-13,optimal
7091,GCZL^[,3,3.0,-0.0,16,7.882583474838611e-14,optimal
7092,GCZL^g,3,3.0,-0.0,15,1.2371205698064328e-13,optimal
7093,GCZL^k,3,3.0,-0.0,16,3.648879726974329e-14,optimal
7094,GCZL^w,3,3.0,-0.0,16,1.5543122344752192e-15,optimal
7095,GCZL^{,3,3.0,-0.0,17,7.777808078564272e-14,optimal
7096,GCZLaw,3,3.0,-0.0,13,6.661338147750939e-16,optimal
7097,GCZLbS,3,3.0,-0.0,13,6.990724027352935e-14,optimal
7098,GCZLbs,3,3.0,-0.0,14,4.440892098500626e-16,optimal
7099,GCZLbw,3,3.0,0.0,14,4.440892098500626e-16,optimal
7100,GCZLc[,4,4.0,0.0,13,4.440892098500626e-16,optimal
7101,GCZLcs,3,3.0,-0.0,13,2.220446049250313e-16,optimal
7102,GCZLcw,3,3.0,0.0,13,1.8349730128825076e-13,optimal
7103,GCZLdS,3,3.0,-0.0,13,1.4859699427890237e-14,optimal
7104,GCZLdW,3,3.0,0.0,13,1.2328771291439968e-13,optimal
7105,GCZLd[,3,3.0,-0.0,14,4.466585237456286e-15,optimal
7106,GCZLdo,3,3.0,0.0,13,5.745287697703704e-13,optimal
7107,GCZLds,3,3.0,-0.0,14,2.220446049250313e-15,optimal
7108,GCZLdw,3,3.0,0.0,14,1.7052942574917184e-14,optimal
7109,GCZLeS,4,4.0,-0.0,13,4.218847493575595e-15,optimal
7110,GCZLeW,3,3.0,-0.0,13,3.03763589254561e-15,optimal
7111,GCZLe[,3,3.0,-0.0,14,1.385277253470659e-13,optimal
7112,GCZLeo,3,3.0,0.0,13,4.440892098500626e-16,optimal
7113,GCZLes,3,3.0,0.0,14,1.5987211554602254e-14,optimal
7114,GCZLew,3,3.0,-0.0,14,9.891833382306122e-16,optimal
7115,GCZLe{,3,3.0,0.0,15,1.2331413056403518e-15,optimal
7116,GCZLfO,3,3.0,0.0,13,3.5604671727594054e-14,optimal
7117,GCZLfS,3,3.0,-0.0,14,5.10702591327572e-14,optimal
7118,GCZLfW,3,3.0,0.0,14,1.249000902703301e-13,optimal
7119,GCZLf[,3,3.0,0.0,15,1.2545520178264269e-14,optimal
7120,GCZLf_,3,3.0,0.0,13,2.2877715669559767e-14,optimal
7121,GCZLfg,3,3.0,0.0,14,2.6645352591003757e-15,optimal
7122,GCZLfo,3,3.0,-0.0,14,3.4417646118142492e-15,optimal
7123,GCZLfs,3,3.0,0.0,15,2.220446049250313e-14,optimal
